sample,input,output
324,5877,-17
325,0,-21
326,-5877,-17
327,-9510,-7
328,-9510,6
329,-5877,16
330,0,20
331,5877,16
332,9510,6
333,9510,-7
334,5877,-17
335,0,-21
336,-5877,-17
337,-9510,-7
338,-9510,6
339,-5877,16
340,0,20
341,5877,16
342,9510,6
343,9510,-7
344,5877,-17
345,0,-21
346,-5877,-17
347,-9510,-7
348,-9510,6
349,-5877,16
350,0,20
351,5877,16
352,9510,6
353,9510,-7
354,5877,-17
355,0,-21
356,-5877,-17
357,-9510,-7
358,-9510,6
359,-5877,16
360,0,20
361,5877,16
362,9510,6
363,9510,-7
364,5877,-17
365,0,-21
366,-5877,-17
367,-9510,-7
368,-9510,6
369,-5877,16
370,0,20
371,5877,16
372,9510,6
373,9510,-7
374,5877,-17
375,0,-21
376,-5877,-17
377,-9510,-7
378,-9510,6
379,-5877,16
380,0,20
381,5877,16
382,9510,6
383,9510,-7
384,5877,-17
385,0,-21
386,-5877,-17
387,-9510,-7
388,-9510,6
389,-5877,16
390,0,20
391,5877,16
392,9510,6
393,9510,-7
394,5877,-17
395,0,-21
396,-5877,-17
397,-9510,-7
398,-9510,6
399,-5877,16
400,0,20
401,5877,16
402,9510,6
403,9510,-7
404,5877,-17
405,0,-21
406,-5877,-17
407,-9510,-7
408,-9510,6
409,-5877,16
410,0,20
411,5877,16
412,9510,6
413,9510,-7
414,5877,-17
415,0,-21
416,-5877,-17
417,-9510,-7
418,-9510,6
419,-5877,16
420,0,20
421,5877,16
422,9510,6
423,9510,-7
424,5877,-17
425,0,-21
426,-5877,-17
427,-9510,-7
428,-9510,6
429,-5877,16
430,0,20
431,5877,16
432,9510,6
433,9510,-7
434,5877,-17
435,0,-21
436,-5877,-17
437,-9510,-7
438,-9510,6
439,-5877,16
440,0,20
441,5877,16
442,9510,6
443,9510,-7
444,5877,-17
445,0,-21
446,-5877,-17
447,-9510,-7
448,-9510,6
449,-5877,16
450,0,20
451,5877,16
452,9510,6
453,9510,-7
454,5877,-17
455,0,-21
456,-5877,-17
457,-9510,-7
458,-9510,6
459,-5877,16
460,0,20
461,5877,16
462,9510,6
463,9510,-7
464,5877,-17
465,0,-21
466,-5877,-17
467,-9510,-7
468,-9510,6
469,-5877,16
470,0,20
471,5877,16
472,9510,6
473,9510,-7
474,5877,-17
475,0,-21
476,-5877,-17
477,-9510,-7
478,-9510,6
479,-5877,16
480,0,20
481,5877,16
482,9510,6
483,9510,-7
484,5877,-17
485,0,-21
486,-5877,-17
487,-9510,-7
488,-9510,6
489,-5877,16
490,0,20
491,5877,16
492,9510,6
493,9510,-7
494,5877,-17
495,0,-21
496,-5877,-17
497,-9510,-7
498,-9510,6
499,-5877,16
500,0,20
501,5877,16
502,9510,6
503,9510,-7
504,5877,-17
505,0,-21
506,-5877,-17
507,-9510,-7
508,-9510,6
509,-5877,16
510,0,20
511,5877,16
