sample,input,output
0,0,0
1,5877,0
2,9510,-5
3,9510,-13
4,5877,-22
5,0,-29
6,-5877,-33
7,-9510,-32
8,-9510,-29
9,-5877,-24
10,0,-19
11,5877,-15
12,9510,-12
13,9510,-7
14,5877,4
15,0,23
16,-5877,52
17,-9510,91
18,-9510,139
19,-5877,193
20,0,250
21,5877,307
22,9510,363
23,9510,419
24,5877,475
25,0,532
26,-5877,590
27,-9510,648
28,-9510,702
29,-5877,748
30,0,783
31,5877,804
32,9510,811
33,9510,805
34,5877,788
35,0,762
36,-5877,731
37,-9510,695
38,-9510,654
39,-5877,607
40,0,553
41,5877,492
42,9510,425
43,9510,357
44,5877,290
45,0,229
46,-5877,176
47,-9510,133
48,-9510,97
49,-5877,68
50,0,44
51,5877,21
52,9510,0
53,9510,-18
54,5877,-32
55,0,-40
56,-5877,-40
57,-9510,-35
58,-9510,-26
59,-5877,-16
60,0,-8
61,5877,-5
62,9510,-7
63,9510,-12
64,5877,-17
65,0,-21
66,-5877,-17
67,-9510,-7
68,-9510,6
69,-5877,16
70,0,20
71,5877,16
72,9510,6
73,9510,-7
74,5877,-17
75,0,-21
76,-5877,-17
77,-9510,-7
78,-9510,6
79,-5877,16
80,0,20
81,5877,16
82,9510,6
83,9510,-7
84,5877,-17
85,0,-21
86,-5877,-17
87,-9510,-7
88,-9510,6
89,-5877,16
90,0,20
91,5877,16
92,9510,6
93,9510,-7
94,5877,-17
95,0,-21
96,-5877,-17
97,-9510,-7
98,-9510,6
99,-5877,16
100,0,20
101,5877,16
102,9510,6
103,9510,-7
104,5877,-17
105,0,-21
106,-5877,-17
107,-9510,-7
108,-9510,6
109,-5877,16
110,0,20
111,5877,16
112,9510,6
113,9510,-7
114,5877,-17
115,0,-21
116,-5877,-17
117,-9510,-7
118,-9510,6
119,-5877,16
120,0,20
121,5877,16
122,9510,6
123,9510,-7
124,5877,-17
125,0,-21
126,-5877,-17
127,-9510,-7
128,-9510,6
129,-5877,16
130,0,20
131,5877,16
132,9510,6
133,9510,-7
134,5877,-17
135,0,-21
136,-5877,-17
137,-9510,-7
138,-9510,6
139,-5877,16
140,0,20
141,5877,16
142,9510,6
143,9510,-7
144,5877,-17
145,0,-21
146,-5877,-17
147,-9510,-7
148,-9510,6
149,-5877,16
150,0,20
151,5877,16
152,9510,6
153,9510,-7
154,5877,-17
155,0,-21
156,-5877,-17
157,-9510,-7
158,-9510,6
159,-5877,16
160,0,20
161,5877,16
162,9510,6
163,9510,-7
164,5877,-17
165,0,-21
166,-5877,-17
167,-9510,-7
168,-9510,6
169,-5877,16
170,0,20
171,5877,16
172,9510,6
173,9510,-7
174,5877,-17
175,0,-21
176,-5877,-17
177,-9510,-7
178,-9510,6
179,-5877,16
180,0,20
181,5877,16
182,9510,6
183,9510,-7
184,5877,-17
185,0,-21
186,-5877,-17
187,-9510,-7
188,-9510,6
189,-5877,16
190,0,20
191,5877,16
192,9510,6
193,9510,-7
194,5877,-17
195,0,-21
196,-5877,-17
197,-9510,-7
198,-9510,6
199,-5877,16
200,0,20
201,5877,16
202,9510,6
203,9510,-7
204,5877,-17
205,0,-21
206,-5877,-17
207,-9510,-7
208,-9510,6
209,-5877,16
210,0,20
211,5877,16
212,9510,6
213,9510,-7
214,5877,-17
215,0,-21
216,-5877,-17
217,-9510,-7
218,-9510,6
219,-5877,16
220,0,20
221,5877,16
222,9510,6
223,9510,-7
224,5877,-17
225,0,-21
226,-5877,-17
227,-9510,-7
228,-9510,6
229,-5877,16
230,0,20
231,5877,16
232,9510,6
233,9510,-7
234,5877,-17
235,0,-21
236,-5877,-17
237,-9510,-7
238,-9510,6
239,-5877,16
240,0,20
241,5877,16
242,9510,6
243,9510,-7
244,5877,-17
245,0,-21
246,-5877,-17
247,-9510,-7
248,-9510,6
249,-5877,16
250,0,20
251,5877,16
252,9510,6
253,9510,-7
254,5877,-17
255,0,-21
256,-5877,-17
257,-9510,-7
258,-9510,6
259,-5877,16
260,0,20
261,5877,16
262,9510,6
263,9510,-7
264,5877,-17
265,0,-21
266,-5877,-17
267,-9510,-7
268,-9510,6
269,-5877,16
270,0,20
271,5877,16
272,9510,6
273,9510,-7
274,5877,-17
275,0,-21
276,-5877,-17
277,-9510,-7
278,-9510,6
279,-5877,16
280,0,20
281,5877,16
282,9510,6
283,9510,-7
284,5877,-17
285,0,-21
286,-5877,-17
287,-9510,-7
288,-9510,6
289,-5877,16
290,0,20
291,5877,16
292,9510,6
293,9510,-7
294,5877,-17
295,0,-21
296,-5877,-17
297,-9510,-7
298,-9510,6
299,-5877,16
300,0,20
301,5877,16
302,9510,6
303,9510,-7
304,5877,-17
305,0,-21
306,-5877,-17
307,-9510,-7
308,-9510,6
309,-5877,16
310,0,20
311,5877,16
312,9510,6
313,9510,-7
314,5877,-17
315,0,-21
316,-5877,-17
317,-9510,-7
318,-9510,6
319,-5877,16
320,0,20
321,5877,16
322,9510,6
323,9510,-7
