sample,input,output
364,7375,-1220
365,6845,-556
366,6276,111
367,5672,777
368,5036,1439
369,4371,2092
370,3681,2734
371,2970,3360
372,2242,3967
373,1502,4552
374,753,5111
375,0,5640
376,-753,6138
377,-1502,6600
378,-2242,7026
379,-2970,7411
380,-3681,7754
381,-4371,8053
382,-5036,8306
383,-5672,8513
384,-6276,8670
385,-6845,8779
386,-7375,8837
387,-7862,8846
388,-8305,8804
389,-8701,8712
390,-9048,8571
391,-9343,8380
392,-9585,8143
393,-9772,7859
394,-9904,7530
395,-9980,7159
396,-9999,6746
397,-9961,6296
398,-9866,5810
399,-9716,5290
400,-9510,4741
401,-9250,4165
402,-8938,3565
403,-8575,2945
404,-8163,2308
405,-7705,1658
406,-7203,998
407,-6660,333
408,-6079,-334
409,-5463,-999
410,-4817,-1659
411,-4143,-2309
412,-3446,-2946
413,-2729,-3566
414,-1997,-4166
415,-1253,-4742
416,-502,-5291
417,251,-5811
418,1003,-6297
419,1750,-6747
420,2486,-7160
421,3209,-7531
422,3913,-7860
423,4595,-8144
424,5251,-8381
425,5877,-8572
426,6470,-8713
427,7026,-8805
428,7542,-8847
429,8015,-8838
430,8443,-8780
431,8822,-8671
432,9152,-8514
433,9429,-8307
434,9653,-8054
435,9822,-7755
436,9936,-7412
437,9992,-7027
438,9992,-6601
439,9936,-6139
440,9822,-5641
441,9653,-5112
442,9429,-4553
443,9152,-3968
444,8822,-3361
445,8443,-2735
446,8015,-2093
447,7542,-1440
448,7026,-778
449,6470,-112
450,5877,555
451,5251,1219
452,4595,1875
453,3913,2522
454,3209,3153
455,2486,3767
456,1750,4360
457,1003,4927
458,251,5467
459,-502,5975
460,-1253,6450
461,-1997,6888
462,-2729,7287
463,-3446,7644
464,-4143,7958
465,-4817,8227
466,-5463,8449
467,-6079,8623
468,-6660,8748
469,-7203,8823
470,-7705,8848
471,-8163,8823
472,-8575,8748
473,-8938,8623
474,-9250,8449
475,-9510,8227
476,-9716,7958
477,-9866,7644
478,-9961,7287
479,-9999,6888
480,-9980,6450
481,-9904,5975
482,-9772,5467
483,-9585,4927
484,-9343,4360
485,-9048,3767
486,-8701,3153
487,-8305,2522
488,-7862,1875
489,-7375,1219
490,-6845,555
491,-6276,-112
492,-5672,-778
493,-5036,-1440
494,-4371,-2093
495,-3681,-2735
496,-2970,-3361
497,-2242,-3968
498,-1502,-4553
499,-753,-5112
500,0,-5641
501,753,-6139
502,1502,-6601
503,2242,-7027
504,2970,-7412
505,3681,-7755
506,4371,-8054
507,5036,-8307
508,5672,-8514
509,6276,-8671
510,6845,-8780
511,7375,-8838
